Presentation Category (choose the best fit),Room #,"All presentations will be paired with a teacher advisor. Is there a teacher already associated with your presentation, such as club advisor or class teacher? If yes, please write their last name below. ","Name of your presentation: ""Creative Title: Descriptive Title""  (15 words max)",Duration,Duration of Presentation
"5 Experience
11:40-12:15",145 Weaver,Jelinek,HANDmade Lemonade: An Exploration Into All Things Lemonade,35 min,35 min
"5 Experience
11:40-12:15",203 Art Rm,Guerra,Painting and Collage: Open Art Studio,35 min,35 min
"5 Experience
11:40-12:15",207 Page,Rundgren,"Color, Sparkle, Beads, Oh My!: Make Friendship Bracelets",35 min,35 min
"5 Experience
11:40-12:15",211 Gianini,Whitcomb,Making Melodies: How to design your own Rap Beat,35 min,35 min
"5 Experience
11:40-12:15",223 Slattery,Kalman,Yo! Come make Edible Cookie Dough! ,35 min,35 min
"5 Experience
11:40-12:15",226 Hess,Bianchi,How to make Onigiri (Riceballs),35 min,35 min
"5 Experience
11:40-12:15",227 Velasquez,Hendrickx,"Character Creation 101: Design your own character, regardless of experience!",35 min,35 min
"5 Experience
11:40-12:15",228 Sauzet,Carrizo,Short Film Screening: How I Made my Own Animated FIlm,35 min,35 min
"5 Experience
11:40-12:15",231 Kellogg,Hollander,Cupcake decorating: learn different piping tips!,35 min,35 min
"5 Experience
11:40-12:15",233 Grunden,Zellner,Papa's Slimeria: Live out your middle school slime shop dreams!,35 min,35 min
"5 Experience
11:40-12:15",234 Chalifoux,Gagnon,We all Scream for Ice Cream! Learn to make Ice Cream in a Bag!,35 min,35 min
"5 Experience
11:40-12:15",236 Rios,Ziegler,The History of Fortnite,35 min,35 min
"5 Experience
11:40-12:15",239 Pedersen,Underwood,"Bake me up, before you dough dough! (Making edible cookie dough)",35 min,35 min
"5 Experience
11:40-12:15",240 Ricci,Yost,How a sport captivated a nation: the history of American Football,35 min,35 min
